muscle_group,exercise,method,set_number,weight,reps_expected,reps_completed,date,week,day,partner
chest,bench_press,barbell,3,105,12,10,6/4,5,31,3
chest,bench_press,barbell,4,110,8,6,6/4,5,31,3
chest,incline_press_barbell,barbell,1,55,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,2,60,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,3,65,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,4,70,12,10,6/4,5,31,3
chest,incline_press_barbell,barbell,1,60,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,2,65,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,3,70,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,4,75,12,12,6/6,5,33,3
legs,squat_barbell,barbell,1,75,12,12,6/6,5,33,3
legs,squat_barbell,barbell,2,85,12,12,6/6,5,33,3
legs,squat_barbell,barbell,3,95,12,12,6/6,5,33,3
legs,squat_barbell,barbell,4,105,12,12,6/6,5,33,3
back,deadlift,barbell,1,105,12,12,6/6,5,33,3
back,deadlift,barbell,2,115,12,12,6/6,5,33,3
back,deadlift,barbell,3,125,12,12,6/6,5,33,3
back,deadlift,barbell,4,135,12,9,6/6,5,33,3
legs,squat_barbell,barbell,1,80,12,12,6/10,6,37,0
legs,squat_barbell,barbell,2,90,12,12,6/10,6,37,0
legs,squat_barbell,barbell,3,100,12,12,6/10,6,37,0
legs,squat_barbell,barbell,4,110,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,1,20,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,2,25,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,3,30,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,4,35,12,12,6/10,6,37,0
legs,hip_abduction,machine,1,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,2,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,3,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,4,70,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,1,40,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,2,42.5,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,3,42.5,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,4,42.5,12,12,6/10,6,37,0
back,lower_back_extension,machine,1,75,12,12,6/11,6,38,3
back,lower_back_extension,machine,2,80,12,12,6/11,6,38,3
back,lower_back_extension,machine,3,85,12,12,6/11,6,38,3
back,lower_back_extension,machine,4,90,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,1,35,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,2,40,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,3,45,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,4,50,12,12,6/11,6,38,3
back,MTS_high_row,machine,1,35,12,12,6/11,6,38,3
back,MTS_high_row,machine,2,40,12,12,6/11,6,38,3
back,MTS_high_row,machine,3,45,12,12,6/11,6,38,3
back,MTS_high_row,machine,4,50,8,6,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,1,50,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,2,55,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,3,60,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,4,65,12,12,6/11,6,38,3
chest,bench_press,barbell,1,100,12,12,6/12,6,39,0
chest,bench_press,barbell,2,105,10,10,6/12,6,39,0
chest,bench_press,barbell,3,110,8,7,6/12,6,39,0
chest,bench_press,barbell,4,115,6,5,6/12,6,39,0
chest,incline_press_barbell,barbell,1,60,12,12,6/12,6,39,0
chest,incline_press_barbell,barbell,2,65,12,11,6/12,6,39,0
chest,incline_press_barbell,barbell,3,70,10,8,6/12,6,39,0
chest,incline_press_barbell,barbell,4,75,6,6,6/12,6,39,0
chest,incline_fly,dumbbell,1,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,2,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,3,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,4,10,12,12,6/12,6,39,0
